sender_name,receiver_name,sender_account,receiver_account,amount,timestamp,frequency
Vikram Malhotra,Arjun Reddy,ACC760717,ACC934832,50000,2024-10-15T19:20:00,5
Vikram Malhotra,Arjun Reddy,ACC760717,ACC934832,50000,2024-10-04T00:21:00,5
Vikram Malhotra,Arjun Reddy,ACC760717,ACC934832,100000,2024-09-15T00:55:00,4
Vikram Malhotra,Arjun Reddy,ACC760717,ACC934832,500000,2024-08-05T02:07:00,2
Vikram Malhotra,Arjun Reddy,ACC760717,ACC934832,100000,2024-08-13T04:11:00,4
Vikram Malhotra,Arjun Reddy,ACC760717,ACC934832,50000,2024-07-10T09:26:00,3
Vikram Malhotra,Arjun Reddy,ACC760717,ACC934832,50000,2024-11-05T10:11:00,2
Vikram Malhotra,Arjun Reddy,ACC760717,ACC934832,50000,2024-08-16T12:06:00,4
Vikram Malhotra,Arjun Reddy,ACC760717,ACC934832,100000,2024-09-14T10:16:00,5
Vikram Malhotra,Arjun Reddy,ACC760717,ACC934832,50000,2024-06-14T06:15:00,3
Vikram Malhotra,Arjun Reddy,ACC760717,ACC934832,500000,2024-10-09T16:24:00,2
Vikram Malhotra,Arjun Reddy,ACC760717,ACC934832,200000,2024-06-16T10:29:00,5
Vikram Malhotra,Deepak Yadav,ACC760717,ACC909076,500000,2024-06-08T13:40:00,3
Vikram Malhotra,Deepak Yadav,ACC760717,ACC909076,50000,2024-08-08T17:37:00,2
Vikram Malhotra,Deepak Yadav,ACC760717,ACC909076,100000,2024-10-21T20:50:00,3
Vikram Malhotra,Deepak Yadav,ACC760717,ACC909076,200000,2024-10-24T13:28:00,2
Vikram Malhotra,Deepak Yadav,ACC760717,ACC909076,100000,2024-07-07T11:34:00,3
Vikram Malhotra,Deepak Yadav,ACC760717,ACC909076,100000,2024-10-16T13:58:00,5
Vikram Malhotra,Farah Sheikh,ACC760717,ACC841761,50000,2024-09-27T19:18:00,3
Vikram Malhotra,Farah Sheikh,ACC760717,ACC841761,50000,2024-06-16T15:17:00,4
Vikram Malhotra,Farah Sheikh,ACC760717,ACC841761,500000,2024-08-29T20:13:00,4
Vikram Malhotra,Farah Sheikh,ACC760717,ACC841761,50000,2024-07-12T23:34:00,2
Vikram Malhotra,Farah Sheikh,ACC760717,ACC841761,200000,2024-06-23T12:44:00,2
Arjun Reddy,Imran Ali,ACC934832,ACC776498,25000,2024-07-24T19:32:00,3
Arjun Reddy,Imran Ali,ACC934832,ACC776498,50000,2024-08-27T20:16:00,4
Arjun Reddy,Imran Ali,ACC934832,ACC776498,25000,2024-08-02T21:20:00,3
Arjun Reddy,Imran Ali,ACC934832,ACC776498,10000,2024-09-26T19:21:00,1
Arjun Reddy,Imran Ali,ACC934832,ACC776498,50000,2024-07-05T20:59:00,1
Arjun Reddy,Lakshmi Nair,ACC934832,ACC686523,25000,2024-06-02T00:43:00,2
Arjun Reddy,Lakshmi Nair,ACC934832,ACC686523,25000,2024-10-21T22:45:00,4
Arjun Reddy,Lakshmi Nair,ACC934832,ACC686523,25000,2024-10-16T02:50:00,1
Arjun Reddy,Lakshmi Nair,ACC934832,ACC686523,50000,2024-06-08T21:28:00,1
Arjun Reddy,Lakshmi Nair,ACC934832,ACC686523,25000,2024-09-05T19:22:00,4
Arjun Reddy,Lakshmi Nair,ACC934832,ACC686523,10000,2024-11-26T00:07:00,4
