caller_name,callee_name,caller_number,callee_number,timestamp,duration_seconds,frequency,frequency_history
Vikram Malhotra,Arjun Reddy,+919876543210,+919845123456,2024-11-27T17:26:00,255,5,"[5, 3, 3, 5, 4, 3, 3, 3, 5, 3, 5, 5, 5, 3, 5, 4, 3, 3, 3, 3, 3, 5, 5, 3, 23, 18, 25]"
Vikram Malhotra,Arjun Reddy,+919876543210,+919845123456,2024-09-23T18:17:00,36,5,"[5, 3, 3, 5, 4, 3, 3, 3, 5, 3, 5, 5, 5, 3, 5, 4, 3, 3, 3, 3, 3, 5, 5, 3, 23, 18, 25]"
Vikram Malhotra,Arjun Reddy,+919876543210,+919845123456,2024-07-11T22:27:00,378,5,"[5, 3, 3, 5, 4, 3, 3, 3, 5, 3, 5, 5, 5, 3, 5, 4, 3, 3, 3, 3, 3, 5, 5, 3, 23, 18, 25]"
Vikram Malhotra,Arjun Reddy,+919876543210,+919845123456,2024-08-11T04:13:00,374,5,"[5, 3, 3, 5, 4, 3, 3, 3, 5, 3, 5, 5, 5, 3, 5, 4, 3, 3, 3, 3, 3, 5, 5, 3, 23, 18, 25]"
Vikram Malhotra,Arjun Reddy,+919876543210,+919845123456,2024-06-27T02:24:00,129,5,"[5, 3, 3, 5, 4, 3, 3, 3, 5, 3, 5, 5, 5, 3, 5, 4, 3, 3, 3, 3, 3, 5, 5, 3, 23, 18, 25]"
Vikram Malhotra,Arjun Reddy,+919876543210,+919845123456,2024-08-31T11:38:00,300,3,"[5, 3, 3, 5, 4, 3, 3, 3, 5, 3, 5, 5, 5, 3, 5, 4, 3, 3, 3, 3, 3, 5, 5, 3, 23, 18, 25]"
Vikram Malhotra,Arjun Reddy,+919876543210,+919845123456,2024-06-12T23:29:00,579,3,"[5, 3, 3, 5, 4, 3, 3, 3, 5, 3, 5, 5, 5, 3, 5, 4, 3, 3, 3, 3, 3, 5, 5, 3, 23, 18, 25]"
Vikram Malhotra,Arjun Reddy,+919876543210,+919845123456,2024-07-02T12:05:00,595,3,"[5, 3, 3, 5, 4, 3, 3, 3, 5, 3, 5, 5, 5, 3, 5, 4, 3, 3, 3, 3, 3, 5, 5, 3, 23, 18, 25]"
Vikram Malhotra,Arjun Reddy,+919876543210,+919845123456,2024-08-15T20:39:00,400,3,"[5, 3, 3, 5, 4, 3, 3, 3, 5, 3, 5, 5, 5, 3, 5, 4, 3, 3, 3, 3, 3, 5, 5, 3, 23, 18, 25]"
Vikram Malhotra,Arjun Reddy,+919876543210,+919845123456,2024-10-26T06:45:00,101,3,"[5, 3, 3, 5, 4, 3, 3, 3, 5, 3, 5, 5, 5, 3, 5, 4, 3, 3, 3, 3, 3, 5, 5, 3, 23, 18, 25]"
