call_id,caller_person_id,receiver_person_id,caller_phone,receiver_phone,call_timestamp,call_duration,call_type,caller_location_id,receiver_location_id,linked_case_id
430a37fa-0be5-43d5-9d1e-dcdf1626cee4,926b4e17-acbc-4e43-94dc-d944ded67120,5d38e714-e184-4b5a-b57d-65a17038a1ea,+91 1128268854,+91 9508970495,2024-11-30T15:00:26Z,286,voice,f34ee675-7a0e-436f-b6ca-61f475bbb7b6,f34ee675-7a0e-436f-b6ca-61f475bbb7b6,
94364a6d-9df3-4e1c-8b46-ab843a358d93,58796a3b-821d-4185-8914-303664d5ccba,a607336d-9b99-4117-a56f-57962cd30dfc,+91 3229105776,+91 6806658145,2024-02-23T21:44:38Z,120,voice,52af94bf-29a6-4158-b962-6a4fcd19d2be,52af94bf-29a6-4158-b962-6a4fcd19d2be,
2bf2d879-0989-46d4-8b08-e874cfbc4749,6682d7a0-40b3-4146-9c36-1cf8a8ec6ee9,01ff5430-981d-4acc-b71b-e8eda2603794,+91 7715022957,+91 8247272442,2024-04-17T13:34:06Z,86,voice,f0f86fcc-117f-4c6d-8a1e-46c45b1b8072,f0f86fcc-117f-4c6d-8a1e-46c45b1b8072,
efbf6be5-4fa4-4a17-9931-b9fcadc75a6d,59b6287b-4b20-4b6f-a0b3-d60ecf53823d,53d50e04-c90d-47d2-8f09-955a737af76e,+91 5992975100,+91 0641765534,2025-03-08T12:10:46Z,187,voice,6c9f7d43-814e-48e7-8081-7acd5dc54b0a,6c9f7d43-814e-48e7-8081-7acd5dc54b0a,
29a11528-e432-42d8-ae18-eb67c7239c42,fe56cd72-0ab6-4f4f-a1bc-459955f68bc3,8081825f-0e48-4990-a7ed-bf1ddd6c7e0a,+91 5665066216,+91 1669292895,2024-01-03T21:06:50Z,293,voice,546f61c4-b23c-454c-97a1-8172126c2eb1,546f61c4-b23c-454c-97a1-8172126c2eb1,
d738d944-bca3-4f94-8011-4d6157e62fe9,4b31fe9e-51b2-4287-911f-2e21b982d0de,396f5d8e-cd43-468f-9ea0-bec450e6db71,+91 2270015725,+91 0358629977,2024-01-14T20:16:12Z,239,voice,602d9768-51c6-48ac-b514-d39a38aa8cab,602d9768-51c6-48ac-b514-d39a38aa8cab,
5303dfab-cbd8-4136-bd7a-a2b3a4ff2d51,f0b9c854-5c74-4e1d-9a3e-d98aad2eb796,a320ee3a-ba3e-40b3-b0e9-2d9266f355fc,+91 1208728411,+91 6739386525,2024-03-17T11:09:57Z,118,sms,dcab7c79-270b-4d35-ad1e-3714b5b3d15b,dcab7c79-270b-4d35-ad1e-3714b5b3d15b,
cc70cb6b-a335-49a1-a61b-3b3d1a8d0fea,9e91566e-547b-4a3e-bf4f-93b2009cf7a7,abc5ab19-c7e7-4c37-9d41-c45340e95ead,+91 2214358288,+91 6396240231,2025-02-04T19:44:24Z,182,voice,bd0cc5b9-a10c-4248-ab8d-36760d53b6a0,bd0cc5b9-a10c-4248-ab8d-36760d53b6a0,
db1bd190-41de-4a46-947b-d463d40c3f13,7d7a9547-367c-47ec-8c5c-05fb43f36340,11f66c15-42c7-4d15-9e72-09f72d5ac4bf,+91 8893884314,+91 3006387853,2025-03-29T19:10:46Z,303,voice,136eff02-aaa9-4d02-9322-e157b879657b,136eff02-aaa9-4d02-9322-e157b879657b,
68e03136-1777-4245-8422-3fbcab778f04,2215f220-01c0-496d-9826-8c8c9f1b5faf,a92c4c08-4d7f-41bc-b3ba-130b5d776111,+91 7952258319,+91 0868711524,2023-06-30T15:29:27Z,122,voice,62b16554-83b1-4666-9e75-be493be17615,62b16554-83b1-4666-9e75-be493be17615,
94f16645-c616-47f9-b253-b09ef8a4f843,e01e5ae5-b41b-493a-9fc3-e28de2fe5345,7abbe8df-4341-4149-93ee-779a01320e76,+91 9940865694,+91 4461490510,2024-03-29T15:21:30Z,216,voice,23d0938b-ad26-4713-afe3-7611f8baf2c9,23d0938b-ad26-4713-afe3-7611f8baf2c9,
06026953-1f9b-4f3c-8aaa-a609c2c82e4c,779708a4-12b6-445e-8984-00fe98e489c8,5df51b1e-d399-4c49-ba5a-7749cbc922bf,+91 0630290815,+91 8298705845,2024-01-31T11:05:47Z,12,voice,3589d79f-1eb4-48f8-9a21-e9aead62416a,3589d79f-1eb4-48f8-9a21-e9aead62416a,
fad086c6-dc21-4e86-b2da-02ec35494516,79c5f089-ebe7-496b-8aee-e7e215734d02,866ee0b9-296f-4f1a-a5e4-00facbb2f2f1,+91 4635284516,+91 1785907216,2023-07-20T14:42:41Z,64,voice,677b943d-7828-4146-9dbe-db090c179e46,677b943d-7828-4146-9dbe-db090c179e46,
2fccc455-f5a1-43a9-b5bb-2ed72b8ba972,6b8b8023-d580-47b1-ae20-b1b16bdeb80a,c529d9ef-2cd1-45c2-9e04-a55827105e21,+91 9286377214,+91 3241602878,2023-08-05T10:26:38Z,219,voice,8382482c-b106-46dc-83bd-d519ac2530f3,8382482c-b106-46dc-83bd-d519ac2530f3,
524691c1-64a1-4c8f-806f-ef14c158ff0b,735b7692-768a-477f-9084-61285d2d750f,0a9885f7-d5d7-41b3-9203-7fdad11eac77,+91 2804438272,+91 2964557994,2025-05-21T21:48:19Z,144,voice,c979adee-c596-4e7a-ab3a-5fed248c8265,c979adee-c596-4e7a-ab3a-5fed248c8265,
570ff498-3712-4ae4-a2f8-1d2d05452a50,7f9bb7cb-192c-4ff8-a423-6f75fdc0eab7,027ac3f5-ce4c-40b1-a498-29e5b9c751f8,+91 6038835740,+91 5106512755,2025-05-23T17:10:52Z,263,video,6c7dd797-fff1-4ca6-a0ff-aba0dbaa726f,6c7dd797-fff1-4ca6-a0ff-aba0dbaa726f,
517548ba-1a48-41f9-be57-7546e8404120,ba17b826-5d57-4eaf-9f44-6207f6f5c104,4a2c443a-ac5b-475a-8418-5e2f8033b25e,+91 6015160966,+91 5968756660,2025-01-15T16:18:41Z,249,voice,399368c8-c978-469c-be30-609d71bcffc7,399368c8-c978-469c-be30-609d71bcffc7,
cc816a95-6f39-4c9e-881a-a8d04aa0c948,b354d3c3-ca9d-45b6-8bc9-71cc5a10e7b3,6b9439e5-dfe9-437e-b058-ee67c5b1919e,+91 6743240353,+91 0682697584,2025-04-27T07:38:34Z,63,voice,0f50f615-7033-4550-b3c0-1327c1c40070,0f50f615-7033-4550-b3c0-1327c1c40070,
8a9f1651-ca1d-4c65-9fc1-e849ecc4b744,53240630-41a5-484a-b367-e3c8ea343e4c,a6a6df1b-5f66-4c8b-b473-5a3ab770f17a,+91 2098106180,+91 4917956678,2024-12-28T20:47:26Z,123,voice,4084b2c2-1a7b-4c95-8daf-73b43d009467,4084b2c2-1a7b-4c95-8daf-73b43d009467,
a28ba011-44f5-4cbc-83a9-ed582b758203,630a2f6d-64cf-49b4-9586-6413e6b9de84,02662da0-19a4-460a-b3b0-25f9e65e4e33,+91 8739966202,+91 1265779528,2023-09-25T06:17:20Z,207,sms,d890e6e8-e9d5-40b8-8d55-7f7573bd97a1,d890e6e8-e9d5-40b8-8d55-7f7573bd97a1,
717d56b8-4da6-42af-b570-8b527526cb8e,184369ba-14c4-4842-97e7-e68969aedc29,90647d39-acf2-4630-ae9b-3e38886b3d7b,+91 5032476567,+91 7845326110,2024-08-05T18:42:14Z,181,voice,3657e03b-3d50-4b79-9079-c8ce5b4fcd39,3657e03b-3d50-4b79-9079-c8ce5b4fcd39,
80d0eac2-4a72-42a2-9766-a3e182370ca3,15a13b90-ff12-4df7-b12d-72386c6c91a0,d0dfa5ab-bb60-4695-ac8f-6e342e9ff019,+91 7138820637,+91 5432191052,2024-07-14T18:12:42Z,259,voice,716fe4d7-9c39-405b-82f3-a7646ee323f6,716fe4d7-9c39-405b-82f3-a7646ee323f6,
122619d5-c390-4991-8e61-1100ed86c1d4,7b3edf2e-3833-4f2c-a96d-65888fac3ad7,fe175958-608d-4fbd-bf7a-2ad33064108c,+91 0619635478,+91 4828426256,2024-10-28T13:29:12Z,67,voice,60e018cc-80fd-40d1-be1b-e65e6d11acc3,60e018cc-80fd-40d1-be1b-e65e6d11acc3,
4f18f17f-f5b7-45af-a61b-4902f759bbd9,37772833-f9b3-473f-afdb-dcde86603a27,012bd782-f3ea-4ed4-8482-37d110afbbdf,+91 9767582677,+91 1229458101,2025-04-29T15:37:38Z,477,voice,f34ee675-7a0e-436f-b6ca-61f475bbb7b6,f34ee675-7a0e-436f-b6ca-61f475bbb7b6,
aff93f8e-a624-40a2-81e3-304ed02eed95,68b5f557-0e71-4db7-9e1d-1752bc421e6a,6b74afbd-79cf-4683-b6f5-e31b054f4a0f,+91 4906366198,+91 3256138252,2023-06-26T19:45:51Z,237,voice,3548beb9-6adf-49db-968e-bb7eea1585ad,3548beb9-6adf-49db-968e-bb7eea1585ad,
0103bc15-6f5d-4b4c-9265-db9783dd7251,950a52da-4854-412c-a6bf-4f7e6f93cbb4,4556cc56-b8be-4b38-9780-75ecd506fb1d,+91 4827629322,+91 9685264991,2023-09-16T13:45:32Z,334,voice,b9753cbb-9cd4-451b-9705-22cc5bde2d04,b9753cbb-9cd4-451b-9705-22cc5bde2d04,
58405e3e-cf0f-47d3-981c-e6b9d5b8a6fc,1c055253-9ac9-419b-8d37-0734dec8e811,dc8e1559-6099-4865-95e5-9e9953d32d75,+91 1086547449,+91 6465184681,2024-05-14T18:34:50Z,126,voice,9dda0b2e-ff57-4c9e-ac43-43e122f085c1,9dda0b2e-ff57-4c9e-ac43-43e122f085c1,
5090dab7-34bf-4485-9e14-42dfb27e7c10,e053942e-1959-4939-8542-d169679c7a17,be4a4267-c7c9-4a3e-baac-0d8b884310af,+91 1961505750,+91 3885033141,2023-11-14T10:29:50Z,156,voice,dd1fd215-3763-45b2-b28b-73a4e5330322,dd1fd215-3763-45b2-b28b-73a4e5330322,
5bfced4e-099d-4a78-8006-81c8c19308fa,11f66c15-42c7-4d15-9e72-09f72d5ac4bf,e2d76151-3686-452b-b77e-22284bd5ee00,+91 3006387853,+91 0760018765,2025-03-23T14:20:45Z,187,voice,136eff02-aaa9-4d02-9322-e157b879657b,136eff02-aaa9-4d02-9322-e157b879657b,
cb5b6898-0bf4-4f22-9af4-a779b4fe6b3f,0dac34c9-87da-4f5d-84ae-d23c900dd240,c5e16f2f-973d-40a6-8c8d-3ac71445e741,+91 4456559628,+91 5581716062,2025-02-26T11:19:54Z,507,voice,d476c65b-b5f7-4b45-92c9-9d055266a324,d476c65b-b5f7-4b45-92c9-9d055266a324,
13bad1e4-1aae-4e12-af44-a539bb95be5c,e1beaf71-9083-44d6-bf40-81271b755321,27d5070b-c246-48cc-8b84-baaaf02ab95b,+91 9846045965,+91 1047164120,2023-09-01T06:49:42Z,177,voice,736c90c6-9a18-43b8-bb0f-6bcf33dc8dab,736c90c6-9a18-43b8-bb0f-6bcf33dc8dab,
663ba662-19fb-456c-812a-47facfc38b5f,2aafa2df-69ad-4082-9781-01270ad8caad,1aead6bb-e517-4ad3-80d5-4673db5c0db8,+91 8947373983,+91 9900573450,2024-12-16T12:32:45Z,213,sms,2ecaeff5-cb3f-4727-8062-b27a7b63af15,2ecaeff5-cb3f-4727-8062-b27a7b63af15,
604548f4-2c26-4d03-8030-5696bfcbc70e,132893f1-762c-4a52-928a-e8df96d31fcc,f4c98c6e-0735-4f28-82ca-5c5eb9516504,+91 0602856281,+91 5761618675,2023-12-08T21:12:46Z,199,voice,2ed4c69b-411d-4afd-bb03-e20234666fd9,2ed4c69b-411d-4afd-bb03-e20234666fd9,
387fb623-7897-41be-a234-40562bb09863,b61a0df4-78dd-48f5-bead-9b82a80aebc0,0e452102-4aa9-4290-9b86-577e41a8b3d4,+91 7917789502,+91 9262179560,2023-06-16T14:56:46Z,150,voice,2ecaeff5-cb3f-4727-8062-b27a7b63af15,2ecaeff5-cb3f-4727-8062-b27a7b63af15,
