person_id,aadhaar_id,full_name,first_name,last_name,gender,date_of_birth,age,city,state,occupation,email,marital_status,household_id,family_role,notes
aec12e43-108b-427a-aa5e-9172fc135ca3,AADHAAR-SYN-9299-5223-3466,Naman Mittal,Naman,Mittal,Male,1981-06-28,45,Sunoli,Uttarakhand,Delivery Executive,naman.mittal@gmail.com,widowed,d2be1577-61cb-47f8-bb33-4cf3db34d791,head,
cc1a9eaf-455e-4d5e-bd79-a5b244d64a1f,AADHAAR-SYN-3376-7253-9576,Omkar Mittal,Omkar,Mittal,Male,2006-08-10,20,Sunoli,Uttarakhand,College Student,omkar.rajagopalan32@gmail.com,single,d2be1577-61cb-47f8-bb33-4cf3db34d791,child,Address updated 2023
2fb9ccba-04e4-4ccc-96fd-eb1d1b3c35f7,AADHAAR-SYN-5466-5405-7311,Rakesh Dhillon,Rakesh,Dhillon,Male,1946-11-27,80,Sunoli,Uttarakhand,Journalist,rakesh.dhillon@gmail.com,married,5d5571fc-530d-4305-8c95-0a8eec2392ac,head,
5c967353-da8f-4dfc-9a6b-ecda50d103bb,AADHAAR-SYN-7799-4657-5013,Harsh Agrawal,Harsh,Agrawal,Male,1949-06-06,77,Sunoli,Uttarakhand,Insurance Agent,harsh.agrawal60@gmail.com,married,5d5571fc-530d-4305-8c95-0a8eec2392ac,spouse,
a6a6df1b-5f66-4c8b-b473-5a3ab770f17a,AADHAAR-SYN-1685-0247-9966,Vishal Desai,Vishal,Desai,Male,1999-02-04,27,Sunoli,Uttarakhand,Carpenter,vishal.desai@gmail.com,married,5d5571fc-530d-4305-8c95-0a8eec2392ac,child,
53240630-41a5-484a-b367-e3c8ea343e4c,AADHAAR-SYN-5904-8699-3457,Dhruv Basu,Dhruv,Basu,Male,2006-02-06,20,Sunoli,Uttarakhand,College Student,dhruv.basu41@yahoo.com,single,5d5571fc-530d-4305-8c95-0a8eec2392ac,child,
565e485b-93b0-4779-8562-889a76de5c1d,AADHAAR-SYN-1736-0436-8438,Yuvraj Raghavan,Yuvraj,Raghavan,Male,1969-10-13,57,Sunoli,Uttarakhand,Accountant,yuvraj.raghavan@icloud.com,married,3bd2f9b0-d68e-40aa-a8af-ed76e81821fa,head,Duplicate entry flagged for review
ad49bd53-d644-487a-8590-ae1d570c3454,AADHAAR-SYN-7943-8317-6578,Sandeep Raghavan,Sandeep,Raghavan,Male,2000-11-15,26,Sunoli,Uttarakhand,Weaver,sandeep.ali0@gmail.com,married,3bd2f9b0-d68e-40aa-a8af-ed76e81821fa,child,
5d306493-b101-41ff-8897-5fb63e8d853f,AADHAAR-SYN-5322-6772-6759,Preeti Verma,Preeti,Verma,Female,1955-03-13,71,Artiyan Kallan,Rajasthan,Security Guard,preeti.verma69@hotmail.com,widowed,c7a434da-5475-4d31-91ff-6f1c6da97057,head,Record migrated from legacy system
7a8dcb3d-2353-4f1c-8481-583a228493ce,AADHAAR-SYN-7601-3211-5458,Prashant Verma,Prashant,Verma,Male,1966-01-16,60,Artiyan Kallan,Rajasthan,Currency Exchange Clerk,prashant.suri@gmail.com,married,c7a434da-5475-4d31-91ff-6f1c6da97057,spouse,Aadhaar mobile number update pending
da22d3e9-8ebe-4152-94ca-c6259d859ad8,AADHAAR-SYN-0724-5192-9587,Pari Verma,Pari,Verma,Female,1993-03-26,33,Artiyan Kallan,Rajasthan,Insurance Agent,pari.venkatesh@gmail.com,married,c7a434da-5475-4d31-91ff-6f1c6da97057,child,Address updated 2023
6bfc4329-68a0-4317-9c16-a40b7be04ac2,AADHAAR-SYN-8344-2153-6042,Kartik Singhal,Kartik,Singhal,Male,1960-10-12,66,Masgaon,Uttar Pradesh,Plumber,kartik.singhal@gmail.com,married,284621e3-aa88-46f3-abf8-6c8e413154da,head,
0b96f7c8-c4cb-43cf-aba8-22d1638b549b,AADHAAR-SYN-5855-1270-3442,Hemant Singhal,Hemant,Singhal,Male,1964-05-22,62,Masgaon,Uttar Pradesh,Auto Rickshaw Driver,hemant.bhattacharya@yahoo.com,married,284621e3-aa88-46f3-abf8-6c8e413154da,spouse,Aadhaar mobile number update pending
16817167-1c76-444a-b3c0-c65e54712a2a,AADHAAR-SYN-0683-5921-2940,Tara Singhal,Tara,Singhal,Female,1974-03-26,52,Masgaon,Uttar Pradesh,Insurance Agent,tara.sodhi@microsoft.com,married,284621e3-aa88-46f3-abf8-6c8e413154da,sibling,
7d6f20e1-961e-46de-8504-3ea2f6d7692a,AADHAAR-SYN-9427-4113-6070,Leela Singhal,Leela,Singhal,Female,1987-06-21,39,Masgaon,Uttar Pradesh,Shopkeeper,leela.anantharaman@icloud.com,married,284621e3-aa88-46f3-abf8-6c8e413154da,child,PAN verification pending
bb92ad30-66e1-4be1-b2ff-cf53d52b6c13,AADHAAR-SYN-7941-2972-4689,Jagdish Chaturvedi,Jagdish,Chaturvedi,Male,1979-06-23,47,Masgaon,Uttar Pradesh,Chef,jagdish.chaturvedi34@hotmail.com,married,eec69bb6-9d33-4eb5-924e-5228b50a3877,head,
73afdf7b-f403-4f68-a828-79d245d66657,AADHAAR-SYN-9347-3019-8958,Aditya Jain,Aditya,Jain,Male,1983-04-17,43,Masgaon,Uttar Pradesh,Weaver,aditya.jain76@yahoo.com,married,efd10d1a-136e-4c92-965f-2dadf3c12ce7,head,Address updated 2023
