observation_id,observation_timestamp,location_id,observed_person_ids,vehicle_id,object_id,officer_reference,narrative,source_reliability,case_id
416555ca-ef89-4b04-bbd5-0a590be8e780,2024-05-03T07:53:21Z,943731aa-f7f4-45ff-b9ae-48f396e860e0,"88b8ce01-e7bf-427e-9595-c5bfcbabe267,50873f12-f502-48f0-b7b9-1ca825fbb932",,,ASI Faisal Sheikh / Surveillance Wing,"Subject observed in the company of a previously flagged individual near the site of a scheduled gathering; brief, low-key interaction noted before both parties departed separately.",medium,04f26d44-0c08-4f75-a336-71b46b7a94f1
b6eb18c4-ae37-4ece-b7fe-d6fa5c668c34,2025-05-08T16:49:56Z,abc3dac6-1bb5-41f9-bb42-3e43194cf9ca,"88b8ce01-e7bf-427e-9595-c5bfcbabe267,64aa12fe-332b-426d-9e18-1960f6079b69",,,ASI Faisal Sheikh / Surveillance Wing,"Subject observed in the company of a previously flagged individual near a known frequent-visit location; brief, low-key interaction noted before both parties departed separately.",medium,ed3276a9-f584-49cf-81b2-430e73eff8e0
d6ab4def-189f-44b3-9c31-2b1d886df54b,2023-07-25T05:08:28Z,6e52fc9a-f78d-4af7-8767-7e8f2a460895,"88b8ce01-e7bf-427e-9595-c5bfcbabe267,64aa12fe-332b-426d-9e18-1960f6079b69",,,ASI Meena Kulkarni / Unit-7,"Subject observed in the company of a previously flagged individual near the site of a scheduled gathering; brief, low-key interaction noted before both parties departed separately.",medium,04f26d44-0c08-4f75-a336-71b46b7a94f1
0fdb3dd2-19d1-4431-8523-4b284b398fad,2023-09-06T15:45:12Z,d476c65b-b5f7-4b45-92c9-9d055266a324,"88b8ce01-e7bf-427e-9595-c5bfcbabe267,50873f12-f502-48f0-b7b9-1ca825fbb932",e21119d5-9898-4119-86a4-fd445e1b83ba,,ASI Meena Kulkarni / Unit-7,"Subject observed in the company of a previously flagged individual near a known frequent-visit location; brief, low-key interaction noted before both parties departed separately.",medium,d47201c9-711f-4088-af2a-14e95ccd2b8a
23761c4b-2437-488a-ac58-56703cf86dda,2025-02-03T13:39:01Z,c02d795c-a08a-4eac-b4c4-4fefaf879cf7,"88b8ce01-e7bf-427e-9595-c5bfcbabe267,7a8dcb3d-2353-4f1c-8481-583a228493ce",,,Inspector Vivek Chandra / Special Cell,"Subject observed in the company of a previously flagged individual near a known frequent-visit location; brief, low-key interaction noted before both parties departed separately.",medium,31b964e9-e0a0-4342-9d40-d7ea00c2e077
3d1ad81e-a20e-4951-8820-b9429c83d342,2024-03-05T06:59:08Z,6e52fc9a-f78d-4af7-8767-7e8f2a460895,"88b8ce01-e7bf-427e-9595-c5bfcbabe267,50873f12-f502-48f0-b7b9-1ca825fbb932",e21119d5-9898-4119-86a4-fd445e1b83ba,1fca393a-b802-48bf-98b6-c720f5ab665a,SI Anjali Deshmukh / Unit-3,"Subject observed in the company of a previously flagged individual near the site of a scheduled gathering; brief, low-key interaction noted before both parties departed separately.",medium,04f26d44-0c08-4f75-a336-71b46b7a94f1
5a83f251-a0b5-4333-82a3-aac7a0574dd3,2023-07-25T09:08:40Z,6e52fc9a-f78d-4af7-8767-7e8f2a460895,"832a7f11-2e9d-4a38-91a7-9df94f288eff,66608c82-c95e-449d-8483-39e9876092a0",,,SI Rakesh Yadav / Unit-3,"Subject observed in the company of a previously flagged individual near the site of a scheduled gathering; brief, low-key interaction noted before both parties departed separately.",medium,8e27cb1e-4acc-4c47-ba20-63020505ffb3
8afbbdb1-c920-4807-9885-ae7bc9ee6c44,2024-07-12T10:42:19Z,4a112051-0cf1-43ef-beec-1a7e9a17cc89,"832a7f11-2e9d-4a38-91a7-9df94f288eff,6da2a43c-3bff-4bc9-b9d0-5d6b9b496b89",,,SI Anjali Deshmukh / Unit-3,"Subject observed in the company of a previously flagged individual near a known frequent-visit location; brief, low-key interaction noted before both parties departed separately.",medium,c96763f4-da85-4d19-91b0-4873ddb73a38
121490bf-276c-49f8-bb64-a635da645d20,2024-06-22T22:45:28Z,fa611201-3cf8-479a-86a9-0a3dd9f725ff,"832a7f11-2e9d-4a38-91a7-9df94f288eff,66608c82-c95e-449d-8483-39e9876092a0",,2a8d10d7-055a-4434-9b81-d5ff0177d0d4,Inspector Vivek Chandra / Special Cell,"Subject observed in the company of a previously flagged individual near a known frequent-visit location; brief, low-key interaction noted before both parties departed separately.",medium,b8d3ad45-c8d8-4136-823b-dc56797bbe6a
c3a5e366-1db6-42aa-8106-0da1d7351e1d,2024-06-06T01:27:58Z,cca2418e-5650-42dc-add4-f55d74d47fd4,"832a7f11-2e9d-4a38-91a7-9df94f288eff,04d36625-b5aa-4286-a543-bf880a885eb0",2c0d0cea-1025-4073-9795-9f1831741541,,ASI Meena Kulkarni / Unit-7,"Subject observed in the company of a previously flagged individual near a known frequent-visit location; brief, low-key interaction noted before both parties departed separately.",medium,31b964e9-e0a0-4342-9d40-d7ea00c2e077
fe30ea74-89e7-4ef6-8696-76e056ccd3b0,2024-06-13T11:11:12Z,cca2418e-5650-42dc-add4-f55d74d47fd4,"832a7f11-2e9d-4a38-91a7-9df94f288eff,04d36625-b5aa-4286-a543-bf880a885eb0",2c0d0cea-1025-4073-9795-9f1831741541,,ASI Faisal Sheikh / Surveillance Wing,"Subject observed in the company of a previously flagged individual near a known frequent-visit location; brief, low-key interaction noted before both parties departed separately.",medium,b8d3ad45-c8d8-4136-823b-dc56797bbe6a
47016215-472b-43f1-96e2-2fa70c87b696,2024-08-11T08:44:54Z,63567c45-207e-4463-9fb3-9061aea4680e,"0ead0884-55ed-4e0c-931f-0414d70f5921,43d397f3-6279-4e7b-b1e1-d2dd053d82d2,45fde464-2062-4c6b-8c6d-947c4580b94d,9b4e88b4-77b3-4882-8c33-0051f58d3ce4,6a1dcf18-6c4f-44c3-a14b-752c80221fe0",,,ASI Meena Kulkarni / Unit-7,Multiple individuals observed converging at the location over a short window; movements and grouping patterns were noted as atypical for the area's usual foot traffic.,medium,32e4d776-35df-4688-9259-7b74dd290ddc
def01150-2c8d-4409-8a4c-3cbaa6948a22,2023-09-24T12:11:11Z,bbdca28f-c49f-4ec2-8ae6-6634c58f2755,"0ead0884-55ed-4e0c-931f-0414d70f5921,fb3911ba-8769-45a5-ad03-55563c7de121,fe23bf1a-8c7f-4ce5-bf1d-7b53804dd17d,b3e2dabb-54e4-4cdb-9c2a-0c35250aa2b5",,,SI Rakesh Yadav / Unit-3,Multiple individuals observed converging at the location over a short window; movements and grouping patterns were noted as atypical for the area's usual foot traffic.,high,9e1a4a07-e50c-4870-864f-2d705f28fae5
