surveillance_report_id,case_id,report_date,observation_ids,involved_person_ids,narrative,officer_name
ffecfc09-85b7-4f02-84f7-28798ff14a87,31b964e9-e0a0-4342-9d40-d7ea00c2e077,2025-02-03,"acf75a6f-3640-4da9-bc74-126bc9a8dfc5,54bf2ec4-2678-4af4-84fc-298492f0933e,c3a5e366-1db6-42aa-8106-0da1d7351e1d,5a5a99cc-2cee-4086-95b2-05f863d6d496,23761c4b-2437-488a-ac58-56703cf86dda","97c19247-87ac-486f-ac15-862d7a702684,4e23666b-e908-419c-8413-cc86957ec667,d038f78a-ac24-4255-9b01-1d1541ce8012,a4df7d87-34bc-47a4-b7ee-ea24387b8f86,635e45b9-affe-4a6b-8d36-f3adf8ebf039,e1631865-a6e0-42ba-8241-0fb34d3cd2d5,1f65d744-3aba-46f0-a383-91348dbc4a37,38d66af9-6e50-457c-8c19-f962a9c6b435,832a7f11-2e9d-4a38-91a7-9df94f288eff,04d36625-b5aa-4286-a543-bf880a885eb0,b56c9b82-0597-4e04-9c41-1272f478a5d2,6a1dcf18-6c4f-44c3-a14b-752c80221fe0,8bc0df36-e3d8-4a4a-8c8e-accca462e3ee,e1beaf71-9083-44d6-bf40-81271b755321,95b21a34-896e-4a99-ab1f-18b495bd8672,7d6f20e1-961e-46de-8504-3ea2f6d7692a,55cfdf10-a1a9-4735-ae66-8aae4018cb6a,88b8ce01-e7bf-427e-9595-c5bfcbabe267,7a8dcb3d-2353-4f1c-8481-583a228493ce","Between 13 July 2023 and 03 February 2023, subject Dev Chauhan was observed operating motorcycle KA44NX5267 across multiple commercial and transit nodes, including Mavalli Tiffin Room Restaurant in Chandametta and Kempegowda Bus Transport Hub in Artiyan Kallan, frequently rendezvousing with associates Rohan Raina, Arnav Senapati, and Gul Parida. Subsequent observations at Sector 18 Commercial Market in Mahuawa and Cyber City Commercial Park in Harna noted further localized meetings involving Sonal Kaul, Ananya Upadhyay, Myra Jaiswal, and Lalit Gupta, during which digital devices were handled repeatedly near public Wi-Fi hotspots and banking kiosks. Additional stationary surveillance conducted near Lotus Temple Religious Site in Shimoga Ambedkarnagar recorded intermittent financial documentation exchanges and rapid departures coinciding with SMS-based notifications on subjects' mobile terminals. Assessment by the field unit indicates structured, frequent transit patterns and coordinated presence near digital payment infrastructure consistent with intermediary financial operations. Report compiled and submitted by SI Rakesh Yadav.",SI Rakesh Yadav
ce4db5d6-ec87-4214-a499-b786862d4325,8e27cb1e-4acc-4c47-ba20-63020505ffb3,2025-05-21,"8cde1eff-22b9-48e6-819d-a8d1fff3de12,5a83f251-a0b5-4333-82a3-aac7a0574dd3,6ef69046-0fd8-4b27-9651-75a74393618e,35519d32-513e-4b88-845a-eac816ba01b5","780380a3-fe83-4fb6-980c-cab0208c14fb,fecebe3d-821d-4461-8f73-50f40303c96c,c529d9ef-2cd1-45c2-9e04-a55827105e21,a1986a86-ee18-4b99-bde2-9f10ab7ccd8e,4f5ce979-ecb2-4e53-b0e3-6c1a025dc4a2,df8f9173-d8b6-46df-ad3c-2ebcbba09b2e,6641b356-0f73-4184-9190-a96424cd43c5,832a7f11-2e9d-4a38-91a7-9df94f288eff,66608c82-c95e-449d-8483-39e9876092a0,a8e8d715-c685-4e6e-b7b6-770c44b19fa0,7a8dcb3d-2353-4f1c-8481-583a228493ce,036484c0-7073-4f7d-96f0-9d0dda8c0830,3699f0b3-dabc-477c-82a0-5d2c5b556d40,b3e2dabb-54e4-4cdb-9c2a-0c35250aa2b5,fda48128-2192-4b25-b3ea-16e344d9bf64,a53fff68-2c1f-4540-a9b7-9187343dc876,fd989a10-f458-4c0b-b4de-8816b6ffefdc,376f27e4-a6c9-48fb-be55-e53c25f6e965","Between 2023-07-17 and 2025-05-21, surveillance operations coordinated by Inspector Vivek Chandra tracked a network of associates linked contextually to the Goa Anti-Narcotics Cell Anjuna beachside raid. Subject Mandakini Kaul was observed meeting Santosh Tiwari and Ritesh Hussain at the Nehru Place Commercial Center, Fatehpur Kalan, while Kishore Jaiswal and Milind Kumar frequented the Sector 18 Commercial Market, Mahuawa, exhibiting synchronized transit patterns. Subsequent cross-jurisdictional movements recorded at the Dadar Railway Transport Hub, Janawad, involved Vijay Basu and Aditya Shankar coordinating logistics alongside Ravi Bhandary near Nariman Point Commercial Hub, Kathania. Field assessment indicates structured, frequent interactions among all named individuals across commercial and transit nodes, though no direct illicit exchanges were visually captured during these observation windows.",Inspector Vivek Chandra
29e6417d-ec2f-4c90-ab04-6c25e1ba2415,04f26d44-0c08-4f75-a336-71b46b7a94f1,2024-05-03,"d6ab4def-189f-44b3-9c31-2b1d886df54b,3d1ad81e-a20e-4951-8820-b9429c83d342,416555ca-ef89-4b04-bbd5-0a590be8e780","88b8ce01-e7bf-427e-9595-c5bfcbabe267,64aa12fe-332b-426d-9e18-1960f6079b69,50873f12-f502-48f0-b7b9-1ca825fbb932","Between 25-07-2023 and 03-05-2024, surveillance operations conducted by ASI Faisal Sheikh at Sector 18 Commercial Market, Mahuawa, and the Salt Lake Stadium Transport Hub, Saltighat Gujarpur, documented consistent focal points regarding irregular manifest documentation. Subject Queenie Verma was observed meeting with Deepak Deshpande near the transport hub, frequently coordinating the transfer of boxed consignments into a white car bearing registration OD50QH9810. Subsequent tracking noted Pooja Chowdhury regularly interfacing with warehouse dispatch personnel in Mahuawa prior to vehicle transit toward eastern border routes. Assessment indicates structured logistical coordination among the subjects regarding freight movement, warranting continued monitoring of intermediary warehouse receipts.",ASI Faisal Sheikh
0c1fc1bd-4daf-4a8d-a7ce-7d9044ac5935,d47201c9-711f-4088-af2a-14e95ccd2b8a,2023-09-06,0fdb3dd2-19d1-4431-8523-4b284b398fad,"88b8ce01-e7bf-427e-9595-c5bfcbabe267,50873f12-f502-48f0-b7b9-1ca825fbb932","Between 2023-09-06 and 2023-09-06, subject Queenie Verma was observed transiting the Attari Border Area in vehicle OD50QH9810 at approximately 1130 hours, subsequently proceeding toward Silitia. At the secondary location, the subject rendezvoused with an associate identified as Pooja Chowdhury near a commercial transit node, engaging in brief document exchange and short-range dialogue lasting roughly twenty minutes. Association patterns indicate coordinated movement consistent with logistical transit monitoring protocols under current multi-agency intelligence directives. Observations conclude without overt breach of statute, though proximity to international transit points warrants continued low-profile monitoring. Report compiled by SI Rakesh Yadav.",SI Rakesh Yadav
dd24d7d3-c6a4-4cb9-9c9d-3b935825e8b1,7d104ee8-3694-4a75-ae8d-165f02f3074f,2024-07-23,"597de180-077a-41ef-bfb6-2b299cb68dfa,062963fb-8845-4759-85fc-b9ae0453673f,edd32b82-0169-4f41-9eef-bce1ef858e0f","6a1dcf18-6c4f-44c3-a14b-752c80221fe0,3c9c5911-b0c5-46cd-8e9f-f136e566c0be,e1631865-a6e0-42ba-8241-0fb34d3cd2d5,1da61097-56d3-445b-8d48-61f56db9919c,3e42409b-e1ab-442a-9ffd-c75a3f7ddc96,f41f457b-1975-41bc-97f0-d83efefcce31,a8e8d715-c685-4e6e-b7b6-770c44b19fa0,1625d745-435b-464f-8b41-7bb07e32d54f,9b4e88b4-77b3-4882-8c33-0051f58d3ce4,4e23666b-e908-419c-8413-cc86957ec667,4285df9b-9b16-4ccd-9844-3508c0d49fdc,4f5ce979-ecb2-4e53-b0e3-6c1a025dc4a2,fecebe3d-821d-4461-8f73-50f40303c96c,b56c9b82-0597-4e04-9c41-1272f478a5d2,a4df7d87-34bc-47a4-b7ee-ea24387b8f86","Between 2023-09-14 and 2024-07-23, field surveillance was maintained across the Bandra Kurla Complex, Naranpura Kampa, Nehru Place Commercial Center, Kotekere, Manesar Logistics Warehouse, and Kanakore in connection with inquiries into recent intimidation reports near the wholesale market. Subject Shraddha Choudhury was observed meeting with Rajiv Kamble and Ananya Upadhyay at various commercial hubs, while Girish Garg and Anand Rao maintained frequent contact with Malini Dhillon regarding logistics coordination. Subsequent movements indicated routine interactions involving Kiaan Gupta and Priyanka Khan at transit points, with no overt hostile behavior recorded during observation windows. Compiled by SI Anjali Deshmukh, the gathered intelligence suggests structured commercial associations, though further verification is required to establish direct correlation with the ongoing protection-racket allegations.",SI Anjali Deshmukh
af25404e-42f0-4793-b871-a7c9ddaa4d1c,9e1a4a07-e50c-4870-864f-2d705f28fae5,2023-09-24,def01150-2c8d-4409-8a4c-3cbaa6948a22,"0ead0884-55ed-4e0c-931f-0414d70f5921,fb3911ba-8769-45a5-ad03-55563c7de121,fe23bf1a-8c7f-4ce5-bf1d-7b53804dd17d,b3e2dabb-54e4-4cdb-9c2a-0c35250aa2b5","Between 0900 hours and 1630 hours on 2023-09-24, surveillance was maintained on Lara Sahoo and Sana Desai within the Bandra Kurla Complex Commercial Zone, Utari, in connection with the ongoing inquiry into structured bank deposits. Subject Sahoo was observed visiting three distinct financial institutions in quick succession, carrying a leather briefcase, while Subject Desai maintained a stationary perimeter watch near the adjacent parking facility. At approximately 1315 hours, both individuals rendezvoused briefly with Surabhi Garg and Sushila Kohli at a designated public cafeteria, during which minor documentation exchanges were noted without verbal interaction. Observed movement patterns indicate strict adherence to staggered arrival intervals and systematic avoidance of primary thoroughfares. Submitted by ASI Faisal Sheikh for intelligence record.",ASI Faisal Sheikh
88f9996d-c4db-41d0-984a-49bb1bb186b6,419255c5-c457-4c9f-bcda-0a7c3d99e2ba,2024-07-31,"a95695b4-7de5-47e9-a39e-7ca8c012d4bb,2792fcc6-6459-45e5-9fd5-db1a7e2bcd9a","02d32b3c-04cd-4db2-87d1-eaea9c739f75,fadc20a4-a5ff-4ca0-a3e7-8c5cb974aefb,a8e8d715-c685-4e6e-b7b6-770c44b19fa0,3c7a665a-29ef-4c51-937c-9238747d8c3f,635e45b9-affe-4a6b-8d36-f3adf8ebf039,4f5ce979-ecb2-4e53-b0e3-6c1a025dc4a2,036484c0-7073-4f7d-96f0-9d0dda8c0830,38d66af9-6e50-457c-8c19-f962a9c6b435","Between 2024-02-14 and 2024-07-31, discreet surveillance was maintained across Connaught Place Commercial Circle, Tanur, and Gachibowli Financial District, Dubara, regarding financial and interpersonal interactions involving Nilesh Rahman, Siddharth Khanna, Kiaan Gupta, Kaustubh Wani, Sonal Kaul, Milind Kumar, Vishal Brar, and Lalit Gupta. Subject Nilesh Rahman was observed holding frequent, unscheduled meetings with Siddharth Khanna and Kiaan Gupta near commercial establishments, while Kaustubh Wani and Sonal Kaul maintained recurrent contact with Milind Kumar in the vicinity of local business premises. Subsequent observations at the Dubara financial district noted periodic fiscal exchanges between Vishal Brar and Lalit Gupta, often coinciding with the business hours of a local merchant who had previously reported property damage at his shop. Assessment by SI Anjali Deshmukh indicates a structured pattern of association and cash handovers among the subjects, warranting continued monitoring of their commercial and financial movements.",SI Anjali Deshmukh
8df84fdd-d044-4f7b-95cf-db1e38d06fae,f2f115ab-5b0b-4cdc-a136-b775845814d5,2024-03-05,a583c757-d9ea-47ea-b2b8-01969f68e20d,"24cdea93-60d7-43d6-9004-896d9f1a271a,29e44cfd-7d35-4a04-ae90-6fdf73acc416,1edcdcff-eff3-4399-b490-6ece1fd0a750,6a1dcf18-6c4f-44c3-a14b-752c80221fe0,80d1a12f-12b3-4bd3-abd1-b154fc01378c,7d6f20e1-961e-46de-8504-3ea2f6d7692a","Surveillance operations were conducted by Inspector Vivek Chandra on 2024-03-05 at the Sector 18 Commercial Market in Mahuawa following intelligence inputs regarding local transit patterns linked to the recent Mumbai Anti-Narcotics Cell Mahim seizure. Subject Mihir Chakraborty was observed meeting with Sourav Rahman and Devesh Rathore near a tea stall at 1415 hours, followed shortly by brief interactions with Shraddha Choudhury and Deepika Chauhan near the central parking bay. Later in the afternoon at approximately 1630 hours, Leela Singhal arrived at the location and engaged in a prolonged conversation with Chakraborty near the textile arcade before all parties departed separately by 1715 hours. The observed sequence indicates frequent localized coordination among the individuals without explicit engagement in illicit activities during the monitoring window.",Inspector Vivek Chandra
e1ef50d0-465e-4ec4-995c-7d17a9ffc1b7,b9787f53-534b-412b-9b7f-7e0190046463,2024-04-01,e55dc011-202c-4756-b6e0-0718444f876a,"04d36625-b5aa-4286-a543-bf880a885eb0,94d607d7-3492-48ab-a373-f24cb1390211,470bc6dc-44e7-4c45-bf4a-da28c0844bdf,47635c92-ffa4-4fc8-b344-531214f40b95,6180b099-5e5e-4247-9219-81bf4309f50f","Surveillance operations were conducted by the undersigned between 0600 hours and 2200 hours on 01-04-2024 across the Bandra Kurla Complex Commercial Zone and Naranpura Kampa in connection with ongoing district inquiries into financial transactions and courier logistics. Subject Jai Chatterjee was observed meeting with Raj Jadhav and Naveen Khanna near a financial office in Bandra, during which a heavy leather briefcase was exchanged at 1115 hours. Subsequently, at 1630 hours in Naranpura Kampa, subject Keshav Garg arrived via a rented hatchback and rendezvoused briefly with Rishabh Bansal, transferring two small parcels before both departed in opposite directions. Observed association patterns indicate structured logistical coordination and frequent transit between commercial hubs without apparent legitimate business purpose. Submitted by Inspector Vivek Chandra for further intelligence collation.",Inspector Vivek Chandra
1a46b1ac-32e2-4163-9fef-a79d697123b1,ed3276a9-f584-49cf-81b2-430e73eff8e0,2025-05-08,"d62b0142-9b60-4c55-9f50-2369e601dfea,b6eb18c4-ae37-4ece-b7fe-d6fa5c668c34","95b21a34-896e-4a99-ab1f-18b495bd8672,7d6f20e1-961e-46de-8504-3ea2f6d7692a,9b8c97f6-e515-44fa-9b93-a3cbf7295baa,a8e20f0c-a0dc-4b0b-8e64-0798129b4048,635e45b9-affe-4a6b-8d36-f3adf8ebf039,88b8ce01-e7bf-427e-9595-c5bfcbabe267,64aa12fe-332b-426d-9e18-1960f6079b69","Between 03.05.2024 and 08.05.2025, field surveillance was maintained by the undersigned ASI Meena Kulkarni across locations including the Salt Lake Stadium Transport Hub, Saltighat Gujarpur, and the Alipore Residential Enclave in Chinnur, in connection with the ongoing Lucknow police cyber extortion inquiry. Subject Vandana Chauhan was observed interacting intermittently with Leela Singhal and Himanshu Paul near the transport hub, while Hardik Malhotra and Sonal Kaul maintained separate, frequent contact at the Alipore enclave premises. Subsequent observations at Saltighat Gujarpur logged meetings involving Queenie Verma and Deepak Deshpande, with patterns indicating synchronized transit schedules and encrypted communication usage. No explicit illicit transactions were visually recorded during these deployments, though the observed association networks warrant continued monitoring alongside the primary digital investigation.",ASI Meena Kulkarni
